Name or Synonym,RID
Radlex ontology entity,RID0
RadLex entity,RID1
image quality,RID10
imaging modality,RID10311
magnetic resonance imaging,RID10312
magnetic resonance spectroscopy,RID10315
functional magnetic resonance imaging,RID10317
magnetic resonance angiography,RID10319
computed tomography,RID10321
quantitative computed tomography,RID10323
ultrasound,RID10326
nuclear medicine imaging,RID10330
single photon imaging,RID10332
planar nuclear medicine imaging,RID10333
single photon emission computed tomography,RID10334
bremsstrahlung imaging,RID10336
positron emission tomography,RID10337
projection radiography,RID10345
computed radiography,RID10349
digital radiography,RID10351
screen-film radiography,RID10353
dual-energy subtraction radiography,RID10356
mammography,RID10357
conventional tomography,RID10358
tomosynthesis,RID10359
panographic radiograph,RID10360
fluoroscopy,RID10361
dual energy xray absorptiometry,RID10363
catheter angiography,RID10365
interventional radiology procedure,RID10367
modality descriptor,RID10370
angiography,RID10371
arthrography,RID10373
diffusion,RID10374
Doppler,RID10375
perfusion imaging,RID10376
spectroscopy,RID10377
functional,RID10378
venography,RID10379
myelography,RID10380
intervention,RID10381
orderable technique,RID10382
portable,RID10383
dynamic,RID10385
limited evaluation,RID10386
complete evaluation,RID10387
orderable priority,RID10388
stat blue,RID10389
stat,RID10390
urgent,RID10391
routine,RID10392
imaging purpose,RID10393
diagnosis,RID10394
marking for intervention,RID10395
ablation,RID10397
aspiration of bodily substance,RID10398
dilation of structure,RID10399
balloon dilation of structure,RID10400
atherectomy,RID10401
stent placement,RID10402
thrombolysis,RID10403
embolization,RID10404
temporary occlusion,RID10405
infusion,RID10406
repair,RID10407
object retrieval,RID10408
measurement type,RID10409
narrow,RID10410
thrombectomy,RID10412
device manipulation,RID10413
device removal,RID10415
shunt creation,RID10416
drainage,RID10417
direct injection,RID10418
brachytherapy,RID10419
patient position,RID10420
supine position,RID10421
prone position,RID10422
decubitus position,RID10423
right lateral decubitus position,RID10424
left lateral decubitus position,RID10425
dorsal decubitus position,RID10426
extension position,RID10427
hyperextension position,RID10428
flexion position,RID10429
hyperflexion position,RID10430
partial flexion position,RID10431
patient rotation position,RID10432
external rotation position,RID10433
internal rotation position,RID10434
lateral rotation position,RID10435
medial rotation position,RID10436
lateral supine position,RID10438
lateral decubitus position,RID10439
oblique position,RID10440
left anterior oblique position,RID10441
left posterior oblique position,RID10442
right anterior oblique position,RID10443
right posterior oblique position,RID10444
deviation position,RID10445
radial deviation position,RID10446
ulnar deviation position,RID10447
bending position,RID10448
lordotic position,RID10449
neutral position,RID10450
open mouth position,RID10451
sitting position,RID10452
standing position,RID10453
upright position,RID10455
shoulder extension,RID10457
ventral position,RID10459
held position,RID10460
patient orientation,RID10461
head first orientation,RID10462
feet first orientation,RID10463
patient maneuver,RID10464
augmentation maneuver,RID10465
compression of tissue,RID10466
exhalation maneuver,RID10467
inspiration maneuver,RID10468
temporal tap,RID10469
Valsalva maneuver,RID10470
straining maneuver,RID10471
musculoskeletal stress maneuver,RID10472
Mueller maneuver,RID10473
stress maneuver,RID10475
physiological stress,RID10476
exercise stress maneuver,RID10477
treadmill exercise,RID10478
Naughton protocol exercise,RID10479
Bruce protocol exercise,RID10480
modified Bruce protocol exercise,RID10481
bicycle exercise,RID10482
leg pedaling exercise,RID10484
arm pedaling exercise,RID10485
cardiac pacing stress,RID10486
cold pressor stress,RID10487
hand exercises,RID10488
pharmacologic stress,RID10489
adenosine stress,RID10490
dipyridamole stress,RID10491
dobutamine stress,RID10492
mental stress,RID10493
breathing maneuver,RID10494
no breathhold instruction,RID10495
continuous breathing maneuver,RID10496
deep breaths,RID10497
shallow breaths,RID10498
breathing suspension,RID10499
inspiratory breathhold instruction,RID10500
expiratory breathhold instruction,RID10501
active expiration,RID10502
end expiration,RID10503
breast maneuver,RID10504
rolled lateral,RID10505
rolled medial,RID10506
rolled inferior,RID10507
rolled superior,RID10508
implant displaced,RID10509
radiography procedure attribute,RID10510
radiographic projection,RID10511
AP axial oblique projection,RID10512
AP axial projection,RID10513
axial projection,RID10514
axiolateral projection,RID10515
craniocaudal exaggerated laterally projection,RID10516
craniocaudal exaggerated medially projection,RID10517
caudocranial projection,RID10518
craniocaudal projection,RID10519
frontal projection,RID10521
inferosuperior axial projection,RID10522
lateral projection,RID10523
lateromedial projection,RID10524
lateromedial oblique projection,RID10525
mediolateral projection,RID10526
mediolateral oblique projection,RID10527
oblique projection,RID10528
PA axial oblique projection,RID10529
PA axial projection,RID10530
panoramic projection,RID10531
superoinferior axial projection,RID10532
superolateral to inferomedial oblique projection,RID10533
radiography grid,RID10534
focused grid,RID10535
parallel grid,RID10536
criss-cross grid,RID10537
moving grid,RID10538
fixed grid,RID10539
radiography filter,RID10540
compensation filter,RID10541
wedge filter,RID10542
beam-shaping filter,RID10543
radiation exposure measure,RID10544
entrance skin exposure,RID10545
entrance air KERMA,RID10547
dose area product,RID10549
KERMA area product,RID10551
radiation dose estimate,RID10553
entrance skin dose,RID10554
cross-sectional procedure attribute,RID10555
scanning direction,RID10556
cephalocaudad,RID10557
caudocephalad,RID10558
scan trigger method,RID10559
fixed delay scan,RID10560
automatic bolus tracking,RID10562
site of region of interest for measuring contrast enhancement,RID10563
monitoring delay,RID10564
interval for monitoring scans,RID10565
threshold enhancement for trigger,RID10566
upper limit trigger time,RID10567
test bolus technique,RID10568
CT procedure attribute,RID10581
CT exposure control method,RID10582
angular tube current modulation,RID10583
longitudinal tube current modulation,RID10584
angular longitudinal tube current modulation,RID10586
CT detector configuration,RID10588
multi-detector row configuration,RID10589
single-detector row configuration,RID10593
flat panel detector configuration,RID10596
CT detector,RID10597
Xenon ionization chamber,RID10598
solid-state crystal scintillation detector,RID10599
solid-state ceramic scintillation detector,RID10600
CT motion mode,RID10601
stationary,RID10602
rotating,RID10603
translation,RID10604
scanning electron beam,RID10605
CT scan mode,RID10606
CT projection radiograph,RID10607
helical scan mode,RID10613
axial scan mode,RID10615
dynamic CT attribute,RID10618
CT reconstruction method,RID10620
analytical reconstruction,RID10621
approximate reconstruction,RID10622
exact reconstruction,RID10623
iterative reconstruction,RID10624
CT reconstruction filter,RID10625
smooth kernel,RID10626
sharp kernel,RID10632
MR procedure attribute,RID10638
MR coil geometry,RID10639
birdcage coil,RID10640
solenoid coil,RID10641
planar surface coil,RID10642
chimney coil,RID10644
butterfly coil,RID10645
saddle coil,RID10646
single turn solenoid coil,RID10647
Helmholtz coil,RID10649
TEM coil,RID10651
Litz coil,RID10652
antenna coil,RID10653
MR coil transmission mode,RID10654
linear transmission mode,RID10655
circularly polarized transmission mode,RID10656
transmit array,RID10658
single-tuned transmission mode,RID10660
dual-tuned transmission mode,RID10661
MR coil detection mode,RID10663
linear detection mode,RID10664
circularly polarized detection mode,RID10665
receiver array,RID10667
single-tuned detection mode,RID10670
dual-tuned detection mode,RID10671
MR preparation or modification technique,RID10673
inversion recovery,RID10674
saturation recovery,RID10675
T2 prep,RID10676
T2 star prep,RID10678
spectral saturation,RID10680
fat saturation,RID10685
water saturation,RID10687
silicone saturation,RID10689
spectral inversion,RID10691
fat inversion,RID10693
water inversion,RID10695
silicone inversion,RID10697
magnetization transfer,RID10699
spatial saturation,RID10700
spin labeling,RID10704
driven equilibrium,RID10705
two-dimensional selective radiofrequency pulse,RID10706
non-spatially selective radiofrequency pulse,RID10708
spatial-spectral RF pulse,RID10712
tagging pulse,RID10715
motion-encoding gradient,RID10716
flow-sensitizing gradient,RID10718
velocity-encoding gradient,RID10719
bipolar gradient,RID10720
acceleration-encoding gradient,RID10721
diffusion weighting,RID10722
cyclic encoding gradient,RID10723
gradient moment nulling,RID10724
spin lock,RID10727
refocusing of all gradients,RID10728
refocusing of selected gradients within one TR interval,RID10731
refocusing of the gradients in a subsequent TR interval,RID10732
spoiling of transverse magnetization,RID10733
radiofrequency spoiling,RID10735
gradient spoiling,RID10737
MR echo type,RID10738
gradient echo,RID10739
conventional gradient echo,RID10740
fast gradient echo,RID10741
gradient and spin echo,RID10742
echo planar,RID10744
spin echo,RID10746
fast-spin echo,RID10749
conventional spin echo,RID10756
k-space trajectory,RID10757
Cartesian k-space trajectory,RID10758
sequential k-space trajectory,RID10759
echo planar k-space trajectory,RID10760
centric k-space trajectory,RID10761
reverse centric k-space trajectory,RID10762
elliptical centric k-space trajectory,RID10763
recessed elliptical centric k-space trajectory,RID10764
reversed elliptical centric k-space trajectory,RID10765
non-Cartesian k-space trajectory,RID10766
radial k-space trajectory,RID10767
stack of stars k-space trajectory,RID10770
VIPR k-space trajectory,RID10772
spiral k-space trajectory,RID10773
stack of spirals k-space trajectory,RID10774
rings k-space trajectory,RID10775
cones k-space trajectory,RID10776
shells k-space trajectory,RID10777
hybrid k-space trajectory,RID10778
PROPELLER,RID10779
k-space segmentation,RID10782
k-space unsegmented,RID10783
k-space segmented,RID10784
k-space filter,RID10785
radial filter,RID10786
anti-ringing filter,RID10787
elliptical filter,RID10788
Fermi filter,RID10789
separable filter,RID10790
MR tissue contrast attribute,RID10791
intermediate weighted,RID10792
T1 weighted,RID10794
T2 weighted,RID10795
T2* weighted,RID10796
T2/T1 weighted,RID10798
diffusion weighted,RID10799
flexible coil,RID10801
multinuclear coil,RID10803
biopsy coil,RID10805
microscopy coil,RID10806
internally inserted coil,RID10807
endoluminal coil,RID10808
endorectal coil,RID10809
endovascular coil,RID10810
interventional coil,RID10812
magnetic resonance imaging coil,RID10813
radiofrequency coil,RID10815
transmit-receive radiofrequency coil,RID10820
primary transmit-receive coil,RID10821
transmit radiofrequency coil,RID10824
localized transmit coil,RID10826
receive radiofrequency coil,RID10830
localized receive coil,RID10831
functional magnetic resonance imaging coil,RID10835
tracker coil,RID10838
gradient coil,RID10839
whole body gradient coil,RID10840
restricted field of view body gradient coil,RID10841
localized gradient coil,RID10843
shim coil,RID10844
